# Small technology table for exposition (sections 2-5).
# GENERATED by data/prepare.py -- do not edit by hand.
# Every parameter is technology-data v0.13.2;
# fuel prices and carbon contents come from
# fuel_assumptions.csv, which the network re-pricing and the
# greenfield candidates read too. Marginal costs and emission
# rates are NOT stored here -- model code derives them, so table
# and model cannot disagree:
#   mc = fuel_price/efficiency + vom,  e = co2_fuel/efficiency.
# Units: fuel_price_eur_per_mwh_th [EUR/MWh thermal],
# efficiency [MWh_e/MWh_th], vom_eur_per_mwh [EUR/MWh_e],
# co2_t_per_mwh_th [tCO2/MWh thermal].
tech,label,fuel,fuel_price_eur_per_mwh_th,efficiency,vom_eur_per_mwh,co2_t_per_mwh_th,source
solar_pv,Solar PV,none,0.0,1.0,0.0,0.0,"Utility-scale photovoltaics. No fuel, and no variable operating cost in the source. Technology-data key \texttt{solar-utility}."
wind_onshore,Onshore wind,none,0.0,1.0,1.508,0.0,Onshore wind turbines. Technology-data key \texttt{onwind}.
wind_offshore,Offshore wind,none,0.0,1.0,0.0212,0.0,Offshore wind turbines. The variable operating cost is nominal. Technology-data key \texttt{offwind}.
waste_chp,Waste CHP,waste,0.0,0.2051,28.4644,0.15,Waste-to-energy plant. The fuel is free at the gate (gate-fee revenue ignored) but the plant carries a large variable operating cost; only the fossil share of municipal waste is counted as emitting. Technology-data key \texttt{waste CHP}.
coal_chp,Coal,coal,12.0,0.356,3.2612,0.3361,Hard-coal plant. Technology-data key \texttt{coal}.
wood_chips_chp,Wood-chip CHP,solid biomass,25.0,0.2694,4.8603,0.0,"District-heating biomass plant, priced on wood chips; biogenic CO$_2$ counted as zero. Technology-data key \texttt{central solid biomass CHP}."
wood_pellets_chp,Wood-pellet CHP,wood pellets,38.0,0.2694,4.8603,0.0,"The same plant burning pellets: identical machine, more expensive fuel. Technology-data key \texttt{central solid biomass CHP}."
ccgt,Gas CCGT,gas,35.0,0.57,4.5504,0.198,Combined-cycle gas turbine. Technology-data key \texttt{CCGT}.
ocgt,Gas OCGT,gas,35.0,0.405,4.762,0.198,"Open-cycle gas turbine -- the same fuel, a cheaper and less efficient machine. Technology-data key \texttt{OCGT}."
oil_peak,Oil peaker,oil,55.0,0.35,6.3493,0.2571,Oil-fired peaking plant. Technology-data key \texttt{oil}.
